username,tanggal,tweet,sentimen
pkmjangkar,2022-03-07 23:58:20,".update jadwal vaksinasi covid-19 UPT Puskesmas Jangkar

Selasa, 08 Maret 2022
""Vaksin Aman""
""Vaksin Halal""
""Masyarakat Sehat""
""Indonesia Kuat

@dinkes_situbondo 
spider616_,2022-03-05 15:39:31,"Slamat malam,
just info kesehatan: demam tinggi n badan terasa remuk tadi pagi dinihari 2.30 am, saya ke RS n dinyatakan + Covid. Dilihat gejalanya: Omicron. Dapat obat banyak.
Alhamdulillah skarang lebih baik dari 2 hari lalu.
saya udah vaksin 2x n booster.

@MamiaAja 
#Cryptos https://t.co/O14dn1g5xq"
bellabudianii,2022-03-05 15:30:54,@alfajri221810 Harusnya dibikin vaksin covid oral
deemfrose,2022-03-05 15:29:04,Tak pernah sangka yang sekarang ni sampai dah tahap kita bukan lagi tanya soalan kau dah vaksin ke belum tapi kita tanya kau dah pernah kena covid ke belum? Depan belakang kiri kanan orang +. Moga kita semua dilindungi sentiasa.
gtfoneesa,2022-03-05 15:25:22,Tak pernah sangka yang sekarang ni sampai dah tahap kita bukan lagi tanya soalan kau dah vaksin ke belum tapi kita tanya kau dah pernah kena covid ke belum? Depan belakang kiri kanan orang +. Moga kita semua dilindungi sentiasa.
fadzrulhisyam,2022-03-05 15:22:24,"📷 Cerita Rabu lepas, kakak @irinasaffiya terima dos pertama vaksin Pfizer Kids COVID-19 bawah program #PICKids. Kakak hebat &amp; berani! (at IDCC Convention Centre, Shah Alam) https://t.co/1j1vftN6Zv https://t.co/kf8ho3WwNq"
fadzrulhisyam,2022-03-05 15:22:22,"Cerita Rabu lepas, kakak @irinasaffiya terima dos pertama vaksin Pfizer Kids COVID-19 bawah program #PICKids. Kakak hebat &amp; berani! @ IDCC Convention Centre, Shah Alam https://t.co/g3c4bRcWa1"
pengejarbayang,2022-03-05 15:21:20,"Aneh knp efek covid ke tubuh gw lebih dahsyat ketika udh di vaksin, seblm vaksin gw cuma demam sehari doang,sama hilang penciuman 3 hari.Lah ini,demam meriang,linu,pilek 2 minggu lebih ga hilang, pusing,batuk, panas dingin, antibody bikinan tuhan emg dah paling best lah"
shayneshiie,2022-03-05 15:19:12,Vaksin COVID-19 jenis mRNA berubah jadi DNA? Baca ulasan saya. https://t.co/D5p7emgZNL
Benhardinlang3,2022-03-05 15:18:42,"Ayo Sukseskan program vaksinasi Covid-19
Menuju Indonesia sehat dan kuat 
Vaksin Aman dan Bermanfaat https://t.co/eambn9VVA6"
_Banyoe,2022-03-05 15:15:58,"@jawir_solo @StopPlandemit Teori, definisi dan kekebalan terkait vaksin Covid ini sudah direvisi puluhan kali sementara efek negatifnya disalahartikan sebagai COVID-19, kalau tidak ada aral melintang kedepannya dalam 1 tahun itu bisa 5/6 kali suntik loh, pertanyaannya kok mau tubuhnya dilecehkan?"
ulung_hans,2022-03-05 15:14:57,"Aneh knp efek covid ke tubuh gw lebih dahsyat ketika udh di vaksin, seblm vaksin gw cuma demam sehari doang,sama hilang penciuman 3 hari.Lah ini,demam meriang,linu,pilek 2 minggu lebih ga hilang, pusing,batuk, panas dingin, antibody bikinan tuhan emg dah paling best lah"
dinsyari,2022-03-05 15:12:16,Klau boleh takser dh dos ke-4 setiap kali cucuk demam mat..last mati bukan sbb covid sbb bnyak sgt vaksin dalam bdan..😅😅 https://t.co/izIziSjnLX
60far60pay,2022-03-05 15:10:46,"Min, kapan ya saya boleh vaksin booster setelah positif Covid-19? 🤔

Ternyata boleh segera divaksin lho, wargi 🤩

@ridwankamil @diskesjabar @pikobar_jabar https://t.co/Q06LtKoRbm"
langsirtv,2022-03-05 15:10:15,Tak pernah sangka yang sekarang ni sampai dah tahap kita bukan lagi tanya soalan kau dah vaksin ke belum tapi kita tanya kau dah pernah kena covid ke belum? Depan belakang kiri kanan orang +. Moga kita semua dilindungi sentiasa.
NikenRachmawat8,2022-03-05 15:09:46,"Aneh knp efek covid ke tubuh gw lebih dahsyat ketika udh di vaksin, seblm vaksin gw cuma demam sehari doang,sama hilang penciuman 3 hari.Lah ini,demam meriang,linu,pilek 2 minggu lebih ga hilang, pusing,batuk, panas dingin, antibody bikinan tuhan emg dah paling best lah"
vin_ergee,2022-03-05 15:07:58,"#MahasiswaDivaksin #LumpuhUsaiDivaksin #AcehBarat

Tidak lama setelah pulang dari tempat vaksin, korban langsung mual-mual dan muntah. Pada malamnya kondisi tubuh korban sudah membiru dan kejang-kejang.

https://t.co/EG0rQxhLw6"
Error_NoSignal,2022-03-05 15:04:04,Tak pernah sangka yang sekarang ni sampai dah tahap kita bukan lagi tanya soalan kau dah vaksin ke belum tapi kita tanya kau dah pernah kena covid ke belum? Depan belakang kiri kanan orang +. Moga kita semua dilindungi sentiasa.
BuKasunNdeso,2022-03-05 15:03:00,"Aneh knp efek covid ke tubuh gw lebih dahsyat ketika udh di vaksin, seblm vaksin gw cuma demam sehari doang,sama hilang penciuman 3 hari.Lah ini,demam meriang,linu,pilek 2 minggu lebih ga hilang, pusing,batuk, panas dingin, antibody bikinan tuhan emg dah paling best lah"
sofyanegil,2022-03-05 15:01:20,@ariensies ada di btc lewat halodek https://t.co/c7fWC1KZR7
StopPlandemit,2022-03-05 15:01:11,"#MahasiswaDivaksin #LumpuhUsaiDivaksin #AcehBarat

Tidak lama setelah pulang dari tempat vaksin, korban langsung mual-mual dan muntah. Pada malamnya kondisi tubuh korban sudah membiru dan kejang-kejang.

https://t.co/EG0rQxhLw6"
cikgu_hanif,2022-03-05 14:57:04,@najibfazail Cuma perlepasan cukai dah bagi RM1000 untuk Covid plus rawatan berkaitan vaksin RM1000 .. mungkin situ boleh claim balik ?
mediaindonesia,2022-03-05 14:48:36,Sebanyak 203.986 orang mendapatkan penyuntikan dosis pertama vaksin covid-19.  https://t.co/pcPO5lskuL
Ho_Adison,2022-03-05 14:47:50,"#PICKids : Lebih 970,000 populasi kanak-kanak di Malaysia terima vaksin COVID-19

https://t.co/9pzAakiWSZ https://t.co/TPNsccgNpW"
polsekkbjeruk,2022-03-05 14:46:56,"Kapolsek Kebon Jeruk melaksanakan monitoring vaksin booster covid-19 melalui Drive Thru yang diselenggarakan Yayasan Cinta Anak Bangsa di wilayah Duri Kepa,  Sabtu (5/3/2022) https://t.co/DQ1fw0PFkt"
Rifasafirr,2022-03-05 14:41:18,"“Ah tapi ini kan teori aja, akal-akalan orang Barat”

Pengetahuan tentang genetika ini bukan hanya membuat kita menikmati pengetahuan scientific, tetapi juga vaksin COVID yang anda nikmati, yang mungkin jadi alasan anda tetap bertahan hidup untuk bisa ejek science “hanya teori”."
hendrachmanaa,2022-03-05 14:36:15,Nah ini dia lengkapnya manfaat vaksin Covid-19 yg wajib diketahui https://t.co/5K08fLXhrj
pmrnabawan,2022-03-05 14:31:38,"Anda dah daftarkan anak anda untuk vaksinasi COVID-19? 

Rara sudah.. jom sama-sama kita lindungi keluarga kita daripada COVID-19.

Untuk maklumat lanjut mengenai vaksin kanak-kanak boleh layari https://t.co/rAHYOhG9lT

Sumber : MyHealthKKM https://t.co/Z8TEP8vuBx"
PMRMachang,2022-03-05 14:28:25,"Pemberian vaksin COVID-19 tidak wajar jadi bahan kempen PRN  Johor - @Khairykj 

#PRNJohor  #JohorMemilih #PRNJohorBernama 

https://t.co/xQRXn8nUsB https://t.co/loMXOug0JP"
Zie_zie71,2022-03-05 14:26:48,"Ibu bapa dakwa KKM cuba nafikan anak meninggal dunia akibat vaksin Covid-19
https://t.co/Zhswk42353"
todel_liot,2022-03-05 14:25:28,"#SahabatBPOM, pada 2 Februari 2022 Badan POM memberikan persetujuan izin penggunaan darurat untuk tambahan regimen booster homolog pada vaksin COVID-19 yaitu Sinopharm. https://t.co/9ZjVAKDDjm"
nazrihalim94,2022-03-05 14:24:16,"#PICKids : Lebih 970,000 populasi kanak-kanak di Malaysia terima vaksin COVID-19

https://t.co/9pzAakiWSZ https://t.co/TPNsccgNpW"
aweksteady,2022-03-05 14:19:36,Tak pernah sangka yang sekarang ni sampai dah tahap kita bukan lagi tanya soalan kau dah vaksin ke belum tapi kita tanya kau dah pernah kena covid ke belum? Depan belakang kiri kanan orang +. Moga kita semua dilindungi sentiasa.
AmyThom61661294,2022-03-05 14:19:06,"Mewaspadai Provokasi Kelompok Kepentingan Terkait Penolakan Vaksin, Karena Vaksin Covid Yang Telah Dipilih Pemerintah Telah Teruji Dan Terjamin Keamanannya. Jokowi Peduli Rakyat https://t.co/afdTuDhTmM"
satbrimobda,2022-03-05 14:17:50,Pelaksanaan Vaksin Covid-19 Tahap Ketiga (Booster) Kepada Masyarakat di Klinik Teratai Mako Satuan Brimob Polda Sultra. https://t.co/PGh8jeHOFd
DealovaAbimanyu,2022-03-05 14:17:33,"Slamat malam,
just info kesehatan: demam tinggi n badan terasa remuk tadi pagi dinihari 2.30 am, saya ke RS n dinyatakan + Covid. Dilihat gejalanya: Omicron. Dapat obat banyak.
Alhamdulillah skarang lebih baik dari 2 hari lalu.
saya udah vaksin 2x n booster.

@MamiaAja 
#Cryptos https://t.co/O14dn1g5xq"
syznjml,2022-03-05 14:15:10,Tak pernah sangka yang sekarang ni sampai dah tahap kita bukan lagi tanya soalan kau dah vaksin ke belum tapi kita tanya kau dah pernah kena covid ke belum? Depan belakang kiri kanan orang +. Moga kita semua dilindungi sentiasa.
ChandraBruno14,2022-03-05 14:15:08,"Mewaspadai Provokasi Kelompok Kepentingan Terkait Penolakan Vaksin, Karena Vaksin Covid Yang Telah Dipilih Pemerintah Telah Teruji Dan Terjamin Keamanannya. Jokowi Peduli Rakyat https://t.co/3JVlNN77jb"
1945_ilham,2022-03-05 14:11:32,"“Ah tapi ini kan teori aja, akal-akalan orang Barat”

Pengetahuan tentang genetika ini bukan hanya membuat kita menikmati pengetahuan scientific, tetapi juga vaksin COVID yang anda nikmati, yang mungkin jadi alasan anda tetap bertahan hidup untuk bisa ejek science “hanya teori”."
RasyidNur96,2022-03-05 14:11:05,"Mewaspadai Provokasi Kelompok Kepentingan Terkait Penolakan Vaksin, Karena Vaksin Covid Yang Telah Dipilih Pemerintah Telah Teruji Dan Terjamin Keamanannya. Jokowi Peduli Rakyat https://t.co/QmCqFEHi5t"
Anna62545319,2022-03-05 14:09:45,"Pemberian vaksin COVID-19 tidak wajar jadi bahan kempen PRN  Johor - @Khairykj 

#PRNJohor  #JohorMemilih #PRNJohorBernama 

https://t.co/xQRXn8nUsB https://t.co/loMXOug0JP"
tipsbarucom,2022-03-05 14:07:49,"Booster Ketiga Vaksin COVID-19, Vaksin Apa Yang Akan Didapat? https://t.co/tm1NmmwRD1"
Ontoseno_bW,2022-03-05 14:07:14,Nah ini dia lengkapnya manfaat vaksin Covid-19 yg wajib diketahui https://t.co/5K08fLXhrj
mulupedis,2022-03-05 14:07:04,"Mewaspadai Provokasi Kelompok Kepentingan Terkait Penolakan Vaksin, Karena Vaksin Covid Yang Telah Dipilih Pemerintah Telah Teruji Dan Terjamin Keamanannya. Jokowi Peduli Rakyat https://t.co/I9YmvTXz5x"
OnayRiano,2022-03-05 14:06:46,Nah ini dia lengkapnya manfaat vaksin Covid-19 yg wajib diketahui https://t.co/5K08fLXhrj
japenjohor,2022-03-05 14:06:35,"[Infografik] 91% kes BID tidak tahu dijangkiti COVID

📷 : Bernama

Klik https://t.co/bxdnokpEfi untuk baca berita menarik lain

#SinarHarian #InfoSinar #Infografik   #MySejahtera #Covid19 #BID #Vaksin https://t.co/2HUKYSCNQb"
gibaok25,2022-03-05 14:04:36,"@fmtoday Apa lagi nak tunggang  satu tunggang agama satu tunggang covid, tunggang selagi boleh tunggang, tapi banyak negara lain abah x da pun, vaksin free juga, mcm mana ek"
PENRAMIL01,2022-03-05 14:04:03,"Babinsa Koramil 01/Purworejo Sertu Riyanto bersama Babinkamtibmas melaksanakan Komsos dengan Aparat desa, yang bertempat di Kantor Desa Ganggeng, Kecamatan Purworejo Kabupaten Purworejo, dalam rangka persiapan palaksanaan serbuan Vaksin 3 Covid-19 serentak se Kabupaten Purworejo. https://t.co/F20CWqZig5"
CaeciliaCisca72,2022-03-05 14:03:52,Nah ini dia lengkapnya manfaat vaksin Covid-19 yg wajib diketahui https://t.co/5K08fLXhrj
Krisnasurya81,2022-03-05 14:03:28,"Mewaspadai Provokasi Kelompok Kepentingan Terkait Penolakan Vaksin, Karena Vaksin Covid Yang Telah Dipilih Pemerintah Telah Teruji Dan Terjamin Keamanannya. Jokowi Peduli Rakyat https://t.co/KaCFhqUOK1"
Dandydanil1,2022-03-05 13:59:37,"Mewaspadai Provokasi Kelompok Kepentingan Terkait Penolakan Vaksin, Karena Vaksin Covid Yang Telah Dipilih Pemerintah Telah Teruji Dan Terjamin Keamanannya. Jokowi Peduli Rakyat https://t.co/L0JnW9nOMn"
bukan__superman,2022-03-05 13:55:57,"Mewaspadai Provokasi Kelompok Kepentingan Terkait Penolakan Vaksin, Karena Vaksin Covid Yang Telah Dipilih Pemerintah Telah Teruji Dan Terjamin Keamanannya. Jokowi Peduli Rakyat https://t.co/mC1bcHCOPR"
moscawalter,2022-03-05 13:55:06,"Batman baru ni kalau betul memahami isu semasa, patutnya mak ayah Bruce Wayne mati sebab kena covid.. tapi kenapa batman bermusuh dengan Joker? sebab Joker la antivaksin yang hasut mak ayah Bruce Wayne untuk tidak ambik vaksin."
BeatStreet01,2022-03-05 13:52:21,"Mewaspadai Provokasi Kelompok Kepentingan Terkait Penolakan Vaksin, Karena Vaksin Covid Yang Telah Dipilih Pemerintah Telah Teruji Dan Terjamin Keamanannya. Jokowi Peduli Rakyat https://t.co/JlwWPXh1iF"
JapenKulim,2022-03-05 13:51:59,"Pemberian vaksin COVID-19 tidak wajar jadi bahan kempen PRN  Johor - @Khairykj 

#PRNJohor  #JohorMemilih #PRNJohorBernama 

https://t.co/xQRXn8nUsB https://t.co/loMXOug0JP"
Melakahariini,2022-03-05 13:51:34,PRN Johor: Pemberian vaksin COVID-19 tidak wajar jadi bahan kempen https://t.co/Xhl9asBFBr https://t.co/w1abloyNJi
dennis_solisa,2022-03-05 13:50:29,"@ProfesorZubairi Vaksin dan booster ada efektivitas NEGATIF terhadap Omicron. Kamu tidak paham apa2 tentang Covid dan Vaksin. Btw, ada kutipan kamu dalam artikel kami terbaru! https://t.co/FlYnvKwTIJ"
maspit9710,2022-03-05 13:49:53,yang jadi masalah. itu video beneran pas suntik vaksin covid kah?
Bagas57226739,2022-03-05 13:48:02,"Mewaspadai Provokasi Kelompok Kepentingan Terkait Penolakan Vaksin, Karena Vaksin Covid Yang Telah Dipilih Pemerintah Telah Teruji Dan Terjamin Keamanannya. Jokowi Peduli Rakyat https://t.co/p3eNqAT2Ig"
pmrkeningau,2022-03-05 13:45:13,"Anda dah daftarkan anak anda untuk vaksinasi COVID-19? 

Rara sudah.. jom sama-sama kita lindungi keluarga kita daripada COVID-19.

Untuk maklumat lanjut mengenai vaksin kanak-kanak boleh layari https://t.co/rAHYOhG9lT

Sumber : MyHealthKKM https://t.co/Z8TEP8vuBx"
Angelin10872535,2022-03-05 13:44:48,"Mewaspadai Provokasi Kelompok Kepentingan Terkait Penolakan Vaksin, Karena Vaksin Covid Yang Telah Dipilih Pemerintah Telah Teruji Dan Terjamin Keamanannya. Jokowi Peduli Rakyat https://t.co/iVClmhlwM5"
adindapoetriii,2022-03-05 13:41:07,"Mewaspadai Provokasi Kelompok Kepentingan Terkait Penolakan Vaksin, Karena Vaksin Covid Yang Telah Dipilih Pemerintah Telah Teruji Dan Terjamin Keamanannya. Jokowi Peduli Rakyat https://t.co/FXG1USykY9"
secebisan,2022-03-05 13:40:43,"Batman baru ni kalau betul memahami isu semasa, patutnya mak ayah Bruce Wayne mati sebab kena covid.. tapi kenapa batman bermusuh dengan Joker? sebab Joker la antivaksin yang hasut mak ayah Bruce Wayne untuk tidak ambik vaksin."
bernamadotcom,2022-03-05 13:38:00,"Pemberian vaksin COVID-19 tidak wajar jadi bahan kempen PRN  Johor - @Khairykj 

#PRNJohor  #JohorMemilih #PRNJohorBernama 

https://t.co/xQRXn8nUsB https://t.co/loMXOug0JP"
Janisian81,2022-03-05 13:37:05,"Mewaspadai Provokasi Kelompok Kepentingan Terkait Penolakan Vaksin, Karena Vaksin Covid Yang Telah Dipilih Pemerintah Telah Teruji Dan Terjamin Keamanannya. Jokowi Peduli Rakyat https://t.co/mDGx4fralv"
Kamdani6,2022-03-05 13:35:38,"Ayo segerakan vaksinasi saat giliran sudah tiba. Vaksin dapat memberi perlindungan lebih bagi tubuh dan mengurangi risiko sakit parah ataupun kematian akibat COVID-19. Untuk informasi terkait COVID-19 kunjungi situs resmi  https://t.co/gZBcYTAMnv. 

#CepatVaksin #KKPAccelerate https://t.co/4FYbhcMks7"
MamiaDoang,2022-03-05 13:30:29,"Slamat malam,
just info kesehatan: demam tinggi n badan terasa remuk tadi pagi dinihari 2.30 am, saya ke RS n dinyatakan + Covid. Dilihat gejalanya: Omicron. Dapat obat banyak.
Alhamdulillah skarang lebih baik dari 2 hari lalu.
saya udah vaksin 2x n booster.

@MamiaAja 
#Cryptos https://t.co/O14dn1g5xq"
mharisman,2022-03-05 13:30:25,"Kasus Covid-19 di HK termasuk parah saat ini.
Salah satu faltor, tdk adanya bumper natural-immunity krn proteksi ketat. Hanya vaksin yg jadi bumper.

Negara"" 'jawara' seblmnya juga rontok.

Bisa diperkirakan bgmn di CH &amp; TW jika proteksi/lock mrk terbuka.

https://t.co/UXnPZYplEJ https://t.co/0aeQU6C96I"
priillybiee,2022-03-05 13:29:11,"Kementerian Komunikasi dan Informatika (Kominfo) terus melaporkan temuan hoaks seputar vaksin Covid-19. 

Hingga Rabu (2/3/2022) terdapat 469 temuan hoaks yang tersebar di berbagai media sosial dan sebarannya mencapai 2.659 konten.
@kemkominfo
@PlateJohnny https://t.co/7NKjfLxK5d"
theieraziera1,2022-03-05 13:26:21,Tak pernah sangka yang sekarang ni sampai dah tahap kita bukan lagi tanya soalan kau dah vaksin ke belum tapi kita tanya kau dah pernah kena covid ke belum? Depan belakang kiri kanan orang +. Moga kita semua dilindungi sentiasa.
ryolandafit,2022-03-05 13:23:23,"Banyak dari masyarakat kebingungan soal aturan perjalanan di tengah pandemi COVID-19. Berikut aturan lengkap pengguna moda transportasi udara, darat, dan laut. https://t.co/nps8KeYNFS"
SatbrimobdaGor1,2022-03-05 13:22:14,"PENJAGAAN VAKSIN COVID-19.

Pastikan Masyarakat Mendapatkan Vaksin Covid-19, Satbrimobda Gorontalo Perketat Penjagaan Vaksin Pastikan Vaksin Covid-19 tetap Steril. https://t.co/p2S61GVtub"
padangbolasepak,2022-03-05 13:21:42,"#PICKids : Lebih 970,000 populasi kanak-kanak di Malaysia terima vaksin COVID-19

https://t.co/9pzAakiWSZ https://t.co/TPNsccgNpW"
Muhamma24910526,2022-03-05 13:20:08,"#PICKids : Lebih 970,000 populasi kanak-kanak di Malaysia terima vaksin COVID-19

https://t.co/9pzAakiWSZ https://t.co/TPNsccgNpW"
DGHisham,2022-03-05 13:19:55,"#PICKids : Lebih 970,000 populasi kanak-kanak di Malaysia terima vaksin COVID-19

https://t.co/9pzAakiWSZ https://t.co/TPNsccgNpW"
KikiZhageda,2022-03-05 13:16:18,"Pemerintah berkomitmen untuk terus melakukan akselerasi vaksinasi Covid-19 kepada masyarakat guna memastikan pencapaian target vaksin diberikan secara merata disemua daerah

#CegahSebaranPandemi
Kunjungi Sentra Vaksinasi https://t.co/c3bdH1O11M"
edotumiwa,2022-03-05 13:15:00,"Banyak dari masyarakat kebingungan soal aturan perjalanan di tengah pandemi COVID-19. Berikut aturan lengkap pengguna moda transportasi udara, darat, dan laut. https://t.co/nps8KeYNFS"
SinarOnline,2022-03-05 13:15:00,"[Infografik] 91% kes BID tidak tahu dijangkiti COVID

📷 : Bernama

Klik https://t.co/bxdnokpEfi untuk baca berita menarik lain

#SinarHarian #InfoSinar #Infografik   #MySejahtera #Covid19 #BID #Vaksin https://t.co/2HUKYSCNQb"
kulinerbocah,2022-03-05 13:13:01,"Slamat malam,
just info kesehatan: demam tinggi n badan terasa remuk tadi pagi dinihari 2.30 am, saya ke RS n dinyatakan + Covid. Dilihat gejalanya: Omicron. Dapat obat banyak.
Alhamdulillah skarang lebih baik dari 2 hari lalu.
saya udah vaksin 2x n booster.

@MamiaAja 
#Cryptos https://t.co/O14dn1g5xq"
_yonglegends,2022-03-05 13:11:05,Tak pernah sangka yang sekarang ni sampai dah tahap kita bukan lagi tanya soalan kau dah vaksin ke belum tapi kita tanya kau dah pernah kena covid ke belum? Depan belakang kiri kanan orang +. Moga kita semua dilindungi sentiasa.
m_yanto_baemo,2022-03-05 13:10:18,"Slamat malam,
just info kesehatan: demam tinggi n badan terasa remuk tadi pagi dinihari 2.30 am, saya ke RS n dinyatakan + Covid. Dilihat gejalanya: Omicron. Dapat obat banyak.
Alhamdulillah skarang lebih baik dari 2 hari lalu.
saya udah vaksin 2x n booster.

@MamiaAja 
#Cryptos https://t.co/O14dn1g5xq"
fx_raptor,2022-03-05 13:09:06,"@Risdysaragih1 @sandiuno @jokowi Dulu sih gak tahan, skrg sudah 3x vaksin. Semoga tahan lah, sudah saatnya hidup dengan covid, dan gak perlu isoman isomanan...."
ahmadalbabhere,2022-03-05 13:08:55,Tak pernah sangka yang sekarang ni sampai dah tahap kita bukan lagi tanya soalan kau dah vaksin ke belum tapi kita tanya kau dah pernah kena covid ke belum? Depan belakang kiri kanan orang +. Moga kita semua dilindungi sentiasa.
detikcom,2022-03-05 13:08:05,"Banyak dari masyarakat kebingungan soal aturan perjalanan di tengah pandemi COVID-19. Berikut aturan lengkap pengguna moda transportasi udara, darat, dan laut. https://t.co/nps8KeYNFS"
medcom_id,2022-03-05 13:04:24,147 Juta Masyarakat Terima Vaksin Covid-19 Dosis Lengkap https://t.co/x6zZK3zCyq
MamiaAja,2022-03-05 13:03:54,"Slamat malam,
just info kesehatan: demam tinggi n badan terasa remuk tadi pagi dinihari 2.30 am, saya ke RS n dinyatakan + Covid. Dilihat gejalanya: Omicron. Dapat obat banyak.
Alhamdulillah skarang lebih baik dari 2 hari lalu.
saya udah vaksin 2x n booster.

@MamiaAja 
#Cryptos https://t.co/O14dn1g5xq"
AndiraAgustin2,2022-03-05 13:03:35,"04/3/2022
Selamat Pagi
Giat Ops Yustisi Penerapan PPKM Level 3 masih dilaksanakan ya. Yuk kita tetap taati protokol kesehatan untuk memutuskan penyebaran Covid-19 &amp; dihimbau utk masyarakat agar melaksanakan vaksin☺️
@satpolpp_jateng 
@ditpolpp_linmas 
@haryanto_shmm https:..."
wamnews_ind,2022-03-05 13:02:23,"Kemenkes Mengumumkan Pemberian 13.334 Dosis Vaksin 'Covid-19' Selama 24 Jam Terakhir, dan Total Hingga Saat ini adalah 24.218.796 https://t.co/6Sy3coyseJ 
#WamNews"
ChanSukLeng1,2022-03-05 13:00:19,"#PICKids : Lebih 970,000 populasi kanak-kanak di Malaysia terima vaksin COVID-19

https://t.co/9pzAakiWSZ https://t.co/TPNsccgNpW"
klungsu07,2022-03-05 12:57:50,"Slamat malam,
just info kesehatan: demam tinggi n badan terasa remuk tadi pagi dinihari 2.30 am, saya ke RS n dinyatakan + Covid. Dilihat gejalanya: Omicron. Dapat obat banyak.
Alhamdulillah skarang lebih baik dari 2 hari lalu.
saya udah vaksin 2x n booster.

@MamiaAja 
#Cryptos https://t.co/O14dn1g5xq"
maxlyn86,2022-03-05 12:56:44,Vaksin COVID-19 jenis mRNA berubah jadi DNA? Baca ulasan saya. https://t.co/D5p7emgZNL
NabilaKeisha7,2022-03-05 12:56:37,4 Manfaat Vaksin Covid-19 Yang Wajib Diketahui https://t.co/KVBFiC27mj
jondivar,2022-03-05 12:56:17,"Orang yg habis divaksin pasti akan mengalami dan menularkan ke org lain.Sblm ada vaksin kebanyakan dibuat oleh oknum agar cair dana covid 

https://t.co/KwyQmXi3Vj"
AyunindyaClari2,2022-03-05 12:56:15,4 Manfaat Vaksin Covid-19 Yang Wajib Diketahui https://t.co/6NKaZbt3A4
contactap2,2022-03-05 12:56:07,Mohon pastikan sertifikat vaksin (vaksin dosis pertama atau vaksin dosis kedua) serta hasil bebas covid-19 (Rapid Test Antigen atau PCR Test) telah terdaftar pada website PeduliLindungi (https://t.co/nuswc65L9p). (2). Terima kasih. -Saski
awienazuin_,2022-03-05 12:56:01,@Nabilayaakob_ kalau hang anti vaksin mybe tak kena covid 🤣🤣🤣
_Idzham_,2022-03-05 12:55:21,"Pemberian vaksin Covid-19 tak wajar jadi bahan kempen PRN Johor, kata Khairy https://t.co/kVMTSx60sU"
SinarOnline,2022-03-05 12:55:17,"Mesyuarat itu akan turut membincangkan kaedah pemberian vaksin kepada pihak sekolah dan swasta selain meminta orang ramai khususnya ibu bapa bersabar kerana bekalan vaksin mencukupi.

https://t.co/Q23KzyYg5v"
msianinsight,2022-03-05 12:53:32,"Pemberian vaksin Covid-19 tak wajar jadi bahan kempen PRN Johor, kata Khairy https://t.co/kVMTSx60sU"
andirafi98,2022-03-05 12:53:03,"@LtdAkbar Negara kita terbanyak kematian anak oleh Covid kok malah koar2,  Kan aneh smntr negara lain tidak. Tujuan menggenjot vaksin malah mempertontonkan kegagalan dan ke tidak mampuan mrk tp kok ya netijen bego aja msh anggap orang2 ini pahlawan pandemi 🙄"
swowwy,2022-03-05 12:52:12,"@ssheilyhs Iyaa malah sinovac ga terasa apa2, pegel di daerah suntik cuma sejam dua jam, aku abis vaksin yaudah lgsg masuk kerja.. pfizer gatau deh kok aku banyak dramanya mulai pegel2 badan, ngawang2 ga konsen gt, ngantukkk wkwkwk temenku abis booster itu 2 minggu kmudian kena covid tp 😂"
Beritasatu,2022-03-05 12:51:24,Data Penerima Vaksin Covid-19 sampai 5 Maret 2022 https://t.co/oRcrQ8FOdP https://t.co/Nf4sTnLfY9
klitingngehe,2022-03-05 12:47:41,"Minggu sebelumnya vaksin booster, seminggu kemudian kena covid, minggu ini tiba2 badan bintik merah.. masyaallah mudah2an jadi penggugur dosa hamba ya allah 😇"
htssurabaya,2022-03-05 12:47:09,"Studi yang dilakukan para peneliti di New York, AS, menemukan vaksin COVID-19 Pfizer mengalami penurunan perlindungan signifikan bagi anak usia 5-11 tahun. https://t.co/YOTRgz6AJ5"
haniszafina,2022-03-05 12:44:17,Tak pernah sangka yang sekarang ni sampai dah tahap kita bukan lagi tanya soalan kau dah vaksin ke belum tapi kita tanya kau dah pernah kena covid ke belum? Depan belakang kiri kanan orang +. Moga kita semua dilindungi sentiasa.
KadrunGoblokPea,2022-03-05 12:43:10,"@ichigotalks @MamiaAja Semoga lekas sembuh Mas ✨🙏 

Istri sy jg positif covid &amp; sy sdh PCR ( blm keluar hasil nya) 

Kami sdh vaksin 2x ..... Tidak jaminan tidak tertular"
KadrunGoblokPea,2022-03-05 12:43:04,"@ichigotalks @MamiaAja Semoga lekas sembuh Mas ✨🙏 

Istri sy jg positif covid &amp; sy sdh PCR ( blm keluar hasil nya) 

Kami sdh vaksin 2x ..... Tidak jaminan tidak tertular"
KadrunGoblokPea,2022-03-05 12:41:22,"Slamat malam,
just info kesehatan: demam tinggi n badan terasa remuk tadi pagi dinihari 2.30 am, saya ke RS n dinyatakan + Covid. Dilihat gejalanya: Omicron. Dapat obat banyak.
Alhamdulillah skarang lebih baik dari 2 hari lalu.
saya udah vaksin 2x n booster.

@MamiaAja 
#Cryptos https://t.co/O14dn1g5xq"
AyuRahm01593918,2022-03-05 12:41:03,"Banyak dari masyarakat kebingungan soal aturan perjalanan di tengah pandemi COVID-19. Berikut aturan lengkap pengguna moda transportasi udara, darat, dan laut. https://t.co/dQmcTLJqBm"
